sample,crystal_system,a,b,c,alpha,beta,gamma,cbm,vbm,band_gap
CrO2,Tetragonal,2.999,7.147,7.149,87.74,77.89,77.9,1.9784,0.9217,1.0567
NiO2,Trigonal,2.799,2.799,4.618,90,90,120,3.0096,1.5479,1.4617
TiO2,Orthorhombic,2.967,10.675,17.531,90,90,90,4.1798,1.7359,2.4439
TiO2,Trigonal,5.169,5.169,5.169,33.71,33.71,33.71,3.5247,1.0731,2.4516
MnO2,Orthorhombic,16.82,14.591,8.871,88.08,60.11,31.81,-4.8272,-5.9746,1.1474
TiO2,Orthorhombic,18.757,4.682,2.966,90,90,90,4.8458,2.5515,2.2943
WO2,Trigonal,6.732,6.732,6.732,52.82,52.82,52.82,4.2245,2.8242,1.4003
SnO2,Triclinic,10.992,10.706,10.508,91.66,89.65,85.97,5.8529,4.8225,1.0304
SnO2,Trigonal,5.825,5.825,5.825,67.86,67.86,67.86,5.8467,4.2397,1.607
SeO2,Orthorhombic,5.208,8.676,8.773,90,90,90,2.6364,-0.634,3.2704
TiO2,Orthorhombic,5.185,5.988,10.676,90,90,90,2.764,0.2503,2.5137
TeO2,Orthorhombic,4.741,4.907,7.673,90,90,90,6.9795,4.1276,2.8519
TiO2,Triclinic,10.419,9.865,10.438,90.23,89.68,94.01,4.4296,2.1294,2.3002
ZrO2,Tetragonal,3.6,3.6,5.225,90,90,90,6.7634,2.912,3.8514
SiO2,Monoclinic,5.441,5.441,5.463,97.1,97.1,100.65,6.0738,1.1715,4.9023
TiO2,Monoclinic,4.813,5.041,4.872,90,90,99.86,6.1769,3.9452,2.2317
SnO2,Orthorhombic,3.225,9.335,11.354,90,90,90,5.0611,3.8317,1.2294
TiO2,Orthorhombic,5.72,8.711,3.707,90,90,90,2.5658,-0.1324,2.6982
TiO2,Orthorhombic,2.966,4.881,9.46,90,90,90,4.2628,1.7871,2.4757
SiO2,Cubic,15.311,15.311,15.311,60,60,60,3.5602,-0.9766,4.5368
SiO2,Trigonal,5.927,5.927,5.927,89.15,89.15,89.15,7.2423,2.6861,4.5562
SiO2,Monoclinic,4.281,4.318,8.003,86.38,90,90,4.849,2.1008,2.7482
TeO2,Tetragonal,4.833,4.833,7.651,90,90,90,6.9731,4.1687,2.8044
SbO2,Triclinic,6.504,7.423,15.664,96.04,89.24,113.85,3.5159,2.3076,1.2083
ZrO2,Tetragonal,8.079,8.079,5.03,90,90,90,6.4069,3.3988,3.0081
HfO2,Triclinic,10.598,11.804,10.696,90.14,95.49,87.03,5.8424,2.059,3.7834
NO2,Cubic,6.676,6.676,6.676,109.47,109.47,109.47,0.637,-2.1895,2.8265
HfO2,Orthorhombic,4.81,5.784,15.918,90,90,90,6.325,2.1867,4.1383
ZrO2,Orthorhombic,3.475,10.374,3.793,90,90,90,6.0556,3.061,2.9946
ZrO2,Cubic,3.599,3.599,3.599,60,60,60,6.8993,3.7743,3.125
TiO2,Orthorhombic,6.567,6.567,10.464,90,90,122.95,-1.1506,-3.9832,2.8326
CdO2,Cubic,5.405,5.405,5.405,90,90,90,3.1735,1.92,1.2535
SiO2,Orthorhombic,12.933,10.669,8.104,85.95,55.37,38.68,3.784,-0.5413,4.3253
TiO2,Trigonal,6.028,6.028,14.616,90,90,120,3.0525,1.2674,1.7851
TiO2,Orthorhombic,8.883,10.665,2.968,90,90,90,4.1303,1.6986,2.4317
SnO2,Tetragonal,7.769,7.769,7.769,92.48,92.48,155.99,4.3546,2.5054,1.8492
VO2,Monoclinic,5.492,6.294,6.296,97.24,90.79,89.22,3.1171,1.9798,1.1373
NO2,Monoclinic,4.692,5.923,6.214,117.11,90,90,0.543,-2.1616,2.7046
TiO2,Monoclinic,3.827,3.827,5.472,70.11,70.11,90.01,4.1534,1.9779,2.1755
TiO2,Orthorhombic,4.844,4.996,9.442,90,90,90,6.525,4.4236,2.1014
TiO2,Triclinic,10.27,10.58,10.569,90.48,89.63,89,3.8056,1.3969,2.4087
TiO2,Orthorhombic,3.773,5.987,9.073,90,90,90,1.8378,-1.0519,2.8897
SiO2,Orthorhombic,15.363,15.363,15.363,109.77,109.56,109.09,-1.4577,-5.5264,4.0687
TiO2,Cubic,3.422,3.422,3.422,60,60,60,6.5792,5.5227,1.0565
VO2,Triclinic,3.009,8.758,10.667,89.72,89.76,91.81,3.2591,2.0131,1.246
TeO2,Orthorhombic,3.578,5.856,8.024,90,90,90,7.8292,5.4983,2.3309
TiO2,Triclinic,10.364,10.631,10.327,93.99,88.83,91.79,3.881,1.4427,2.4383
SiO2,Tetragonal,6.939,6.939,6.939,131.72,131.72,70.68,4.9143,0.0849,4.8294
ZrO2,Orthorhombic,10.216,5.219,5.31,90,90,90,6.0863,2.6234,3.4629
TiO2,Tetragonal,3.783,3.783,5.501,110.11,110.11,90,3.9525,1.8939,2.0586
SiO2,Orthorhombic,5.068,5.068,5.068,127.67,124.59,79.69,5.1066,0.3906,4.716
TiO2,Triclinic,10.591,10.785,10.486,89.97,83.83,83.36,3.5857,0.985,2.6007
VO2,Orthorhombic,3.015,8.781,10.528,90,89.99,89.99,3.4375,2.0338,1.4037
VO2,Monoclinic,5.931,5.898,5.979,59.78,59.42,60.84,2.5718,1.4626,1.1092
SiO2,Triclinic,5.278,5.502,6,95.82,99.9,118.12,6.4154,1.6189,4.7965
IO2,Monoclinic,6.767,7.827,8.299,116.69,90,90,5.172,3.7095,1.4625
ZrO2,Orthorhombic,5.827,4.984,5.387,90,90,90,5.0212,1.8552,3.166
SiO2,Orthorhombic,4.521,8.272,9.475,90,90,90,4.7616,0.17,4.5916
BaO2,Monoclinic,7.745,7.841,8.178,60.44,90,90,3.0262,-0.576,3.6022
TiO2,Orthorhombic,3.167,5.254,6.288,90,90,90,7.4449,5.6898,1.7551
SiO2,Triclinic,11.421,11.608,12.38,94.95,91.36,95.62,4.0819,2.1772,1.9047
TiO2,Tetragonal,5.47,5.47,5.47,114.49,107.02,107.02,4.9826,3.2016,1.781
BaO2,Tetragonal,3.838,3.838,4.389,115.93,115.93,90,4.4204,2.1852,2.2352
SiO2,Trigonal,8.289,8.289,7.547,90,90,120,6.1355,2.1005,4.035
GeO2,Trigonal,4.987,4.987,5.675,90,90,120,2.4109,-0.8392,3.2501
Al2O3,Trigonal,4.988,4.988,14.534,90,90,120,2.6084,-2.1957,4.8041
Y2O3,Cubic,9.187,9.187,9.187,109.47,109.47,109.47,5.4694,1.3721,4.0973
Ga2O3,Triclinic,10.189,10.428,9.869,90.09,86.97,86.13,3.1351,1.0978,2.0373
UO3,Trigonal,3.809,3.809,4.153,90,90,120,6.295,4.6567,1.6383
Bi2O3,Cubic,11.265,11.265,11.265,90,90,90,6.0494,3.5096,2.5398
Al2O3,Triclinic,10.36,10.364,10.481,93.67,89.98,88.85,7.4092,4.1366,3.2726
Al2O3,Triclinic,10.363,10.747,9.998,91.24,90.17,90.06,7.8875,3.8294,4.0581
Al2O3,Triclinic,10.172,10.352,10.549,92.79,94.76,92.37,7.6105,3.9845,3.626
Bi2O3,Monoclinic,4.218,8.198,7.33,26.57,49.21,54.26,5.8059,4.1196,1.6863
Al2O3,Triclinic,5.849,6.139,19.438,94.82,122.95,120.31,7.262,4.0701,3.1919
LuO3,Cubic,6.455,6.455,6.455,109.47,109.47,109.47,3.6666,2.2303,1.4363
WO3,Orthorhombic,5.238,5.34,7.468,90,90,90,1.9031,0.5079,1.3952
Y2O3,Monoclinic,3.488,7.184,8.614,99.84,90,104.05,6.1112,2.1555,3.9557
UO3,Orthorhombic,11.302,11.281,6.974,72.18,71.84,35.98,4.4388,2.5605,1.8783
Al2O3,Triclinic,10.655,9.885,10.517,86.42,91.42,89.27,7.8456,3.9375,3.9081
Bi2O3,Trigonal,5.891,5.891,5.891,65.07,65.07,65.07,7.142,5.0638,2.0782
Al2O3,Triclinic,10.423,10.844,10.373,92.2,80.86,91.16,7.2036,3.4761,3.7275
TeO3,Orthorhombic,4.994,5.19,7.235,90,90,90,5.0787,3.9438,1.1349
MoO3,Orthorhombic,3.681,3.919,14.229,90,90,90,2.866,0.9173,1.9487
WO3,Orthorhombic,3.875,3.875,7.698,90,90,90.03,1.615,0.3449,1.2701
Ga2O3,Orthorhombic,4.904,4.904,7.284,90,90,146.58,4.905,3.7006,1.2044
Al2O3,Triclinic,10.265,10.529,10.386,90.2,83.21,91.14,7.5566,3.8203,3.7363
Al2O3,Triclinic,10.7,10.265,10.21,85.77,88.86,90.21,7.6339,3.9201,3.7138
Dy2O3,Trigonal,3.656,3.656,5.811,90,90,120,6.5618,2.3621,4.1997
Pr2O3,Monoclinic,3.732,7.503,9.095,99.5,90,104.4,5.674,2.1222,3.5518
Ga2O3,Triclinic,10.281,9.787,10.444,90.83,87.7,89.19,3.1498,0.9977,2.1521
WO3,Triclinic,7.389,7.544,7.738,88.88,89.73,89.73,2.1099,0.4364,1.6735
Pm2O3,Cubic,9.535,9.535,9.535,109.47,109.47,109.47,5.004,1.2374,3.7666
Al2O3,Triclinic,10.025,10.025,10.973,90.97,86.21,89.32,7.7508,4.6401,3.1107
Ga2O3,Trigonal,5.332,5.332,5.332,55.89,55.89,55.89,4.9844,2.5819,2.4025
Ho2O3,Cubic,9.114,9.114,9.114,109.47,109.47,109.47,5.1663,1.2205,3.9458
UO3,Monoclinic,14.51,4.075,10.486,82.52,90,90,4.6162,3.128,1.4882
Al2O3,Monoclinic,5.658,5.657,24.266,77.36,90,90,9.8801,5.8103,4.0698
Bi2O3,Monoclinic,5.872,7.517,8.115,90,90,113.73,6.5855,4.391,2.1945
Al2O3,Monoclinic,16.665,5.599,5.599,90.06,60.43,59.11,9.8937,5.7521,4.1416
Dy2O3,Cubic,9.175,9.175,9.175,109.47,109.47,109.47,5.2269,1.3014,3.9255
WO3,Orthorhombic,3.885,7.689,7.75,90,90,90,1.8886,0.2878,1.6008
Al2O3,Triclinic,10.233,10.165,10.498,90.85,92.22,87.57,8.0459,4.4963,3.5496
Al2O3,Triclinic,5.223,5.345,20.008,91.32,96.44,115.74,3.338,0.2265,3.1115
WO3,Triclinic,11.999,12.093,11.67,93.61,88.52,78.74,1.6455,-0.2977,1.9432
CrO3,Orthorhombic,4.91,4.91,5.788,90,90,117.7,0.0156,-2.0263,2.0419
Al2O3,Triclinic,10.689,10.556,10.085,96.49,92.99,88.61,7.5732,4.103,3.4702
Sb2O3,Cubic,7.934,7.934,7.934,60,60,60,6.2874,2.9466,3.3408
Al2O3,Orthorhombic,4.833,8.303,8.924,90,90,90,10.4057,5.5783,4.8274
La2O3,Hexagonal,6.37,6.37,3.29,90,90,120.01,4.7323,3.038,1.6943
Al2O3,Triclinic,10.345,10.365,10.095,91.56,94.67,87.88,8.0384,4.035,4.0034
Y2O3,Triclinic,12.315,11.181,11.654,95.07,91.3,93.95,4.6969,1.7885,2.9084
Y2O3,Orthorhombic,6.03,3.344,13.034,90,90,90,5.91,2.8742,3.0358
Fe2O3,Orthorhombic,5.145,5.288,7.511,89.7,90.16,90.12,5.0087,3.4984,1.5103
Al2O3,Monoclinic,5.585,5.585,13.531,90.5,89.5,119.62,9.8401,6.0605,3.7796
Ga2O3,Triclinic,10.118,10.207,10.452,93.17,87.57,91.45,2.9371,0.8901,2.047
Dy2O3,Monoclinic,3.484,7.173,8.596,99.8,90,104.06,6.0222,2.0247,3.9975
Y2O3,Monoclinic,3.42,9.203,9.36,73.41,90,90,5.2878,2.4864,2.8014
CrO3,Orthorhombic,5.338,5.561,8.667,90,90,90,-0.6871,-2.0464,1.3593
Al2O3,Orthorhombic,5.564,5.564,4.925,90,90,59.29,5.7138,1.4791,4.2347
CrO3,Orthorhombic,4.57,5.852,9.571,90,90,90,-0.8271,-2.0627,1.2356
Al2O3,Triclinic,10.533,10.302,10.367,87.31,93.54,83.97,7.6859,4.1864,3.4995
La2O3,Monoclinic,7.622,7.622,9.224,80.02,80.02,28.85,9.0722,5.6612,3.411
Al2O3,Monoclinic,2.855,4.958,9.246,81.05,89.82,89.94,5.9471,4.5094,1.4377
Pm2O3,Monoclinic,3.647,7.369,8.915,99.51,90,104.33,5.6562,1.9546,3.7016
Dy2O3,Tetragonal,3.788,3.788,5.557,90,90,90,3.6173,2.0764,1.5409
V2O3,Triclinic,3.112,6.89,7.614,81.37,90.72,76.54,6.1107,4.59,1.5207
Al2O3,Triclinic,10.225,10.654,9.914,90.94,91.27,92.12,8.1179,4.3562,3.7617
WO3,Orthorhombic,7.678,7.734,7.764,90,90,90,1.6338,0.3566,1.2772
Sm2O3,Tetragonal,3.892,3.892,5.714,90,90,90,3.4417,1.7225,1.7192
Gd2O3,Cubic,9.358,9.358,9.358,109.47,109.47,109.47,4.3996,1.4585,2.9411
V2O3,Monoclinic,3.777,5.481,12.036,90,90,71.76,4.9244,3.6875,1.2369
Al2O3,Monoclinic,7.733,3.27,10.519,90.01,27.55,102.21,7.3715,3.166,4.2055
Al2O3,Triclinic,10.146,10.995,10.436,88.88,89.86,89.29,7.1967,3.2687,3.928
SeO3,Orthorhombic,5.582,6.126,9.452,90,90,90,-0.6223,-2.7072,2.0849
MoO3,Monoclinic,3.681,3.917,7.282,103.18,90,90,2.6273,0.943,1.6843
IO3,Triclinic,5.094,6.731,6.771,97.63,95.86,105.24,3.9975,2.0793,1.9182
Tm2O3,Cubic,8.995,8.995,8.995,109.47,109.47,109.47,5.1798,1.2011,3.9787
ClO3,Monoclinic,5.09,5.09,9.869,96.64,96.64,114.28,-0.166,-1.3763,1.2103
Al2O3,Triclinic,5.557,5.566,10.025,108.01,84.15,59.83,8.9655,4.9482,4.0173
As2O3,Monoclinic,9.915,6.515,8.459,90,94.37,90,0.4649,-0.9842,1.4491
Er2O3,Trigonal,6.77,6.77,6.77,31.49,31.49,31.49,4.3982,1.5156,2.8826
Al2O3,Triclinic,10.423,10.24,10.523,86.84,87.61,90.11,7.6846,4.1622,3.5224
MoO3,Triclinic,11.782,13.696,12.207,91.19,92.77,89.94,-0.0815,-1.7199,1.6384
WO3,Orthorhombic,7.676,7.735,7.771,90,90,90,1.7016,0.3452,1.3564
WO3,Cubic,6.509,6.509,6.509,109.47,109.47,109.47,1.743,0.6824,1.0606
Al2O3,Triclinic,10.378,10.487,10.625,97.19,96.4,88.45,7.4174,3.919,3.4984
As2O3,Monoclinic,4.592,10.958,13.387,97.82,90,90,4.2703,0.6497,3.6206
Al2O3,Triclinic,10.323,9.906,11.172,94.77,90.88,93.16,7.3828,4.1932,3.1896
B2O3,Triclinic,10.123,10.788,12.258,81.91,89.09,91.81,3.1464,-0.9335,4.0799
Er2O3,Trigonal,3.605,3.605,5.759,90,90,120,6.5126,2.3157,4.1969
WO3,Monoclinic,7.68,7.719,7.751,89.82,90,90,1.7324,0.3616,1.3708
Y2O3,Triclinic,11.891,11.414,11.839,94.38,83.47,87.41,4.7786,1.8365,2.9421
Lu2O3,Monoclinic,3.359,7.007,8.333,100.01,90,103.87,6.1742,1.8979,4.2763
Ho2O3,Monoclinic,3.459,7.139,8.54,99.86,90,104.02,5.9898,1.9323,4.0575
P2O3,Monoclinic,8.487,6.661,7.184,71.65,90,90,3.6212,-0.2197,3.8409
Y2O3,Trigonal,5.782,6.032,5.782,118.64,60,118.64,5.8927,1.4459,4.4468
Ac2O3,Trigonal,4.095,4.095,6.3,90,90,120,8.1122,4.5896,3.5226
Y2O3,Trigonal,3.656,3.656,5.841,90,90,120,6.5803,2.4967,4.0836
Gd2O3,Trigonal,3.729,3.729,5.894,90,90,120,5.0966,2.3983,2.6983
Ga2O3,Triclinic,10.036,10.071,10.045,93.03,90.3,89.49,3.2831,1.4535,1.8296
WO3,Orthorhombic,3.899,7.498,7.665,90,90,90,1.4069,0.1513,1.2556
MoO3,Monoclinic,7.184,7.612,7.801,90,91.11,90,1.7153,0.3439,1.3714
Al2O3,Triclinic,10.978,9.949,9.987,93.97,92.01,85.56,8.063,4.1866,3.8764
WO3,Tetragonal,7.589,7.589,3.886,90,90,90,1.6299,0.3757,1.2542
TeO3,Orthorhombic,5.128,4.801,8.342,90,90,90,4.1057,2.8568,1.2489
Al2O3,Triclinic,10.174,10.437,10.623,88.03,81.66,87.65,6.7552,4.6924,2.0628
Al2O3,Triclinic,10.556,10.392,10.343,91.54,89.06,84.58,7.5586,3.9104,3.6482
Al2O3,Triclinic,10.579,10.505,10.183,89.57,95.25,88.96,7.3945,4.1592,3.2353
Al2O3,Monoclinic,5.313,12.017,3.157,90,109.37,90,9.3784,5.2019,4.1765
Fe2O3,Cubic,8.276,8.276,8.276,109.47,109.47,109.47,4.3844,2.9942,1.3902
Bi2O3,Trigonal,6.048,7.761,7.761,120,90,90,6.2297,4.7422,1.4875
Al2O3,Triclinic,5.594,6.134,18.732,95.71,121.7,120.02,8.1427,4.9208,3.2219
UO3,Cubic,4.135,4.135,4.135,90,90,90,3.0456,1.4106,1.635
Bi2O3,Trigonal,3.853,3.854,5.927,90,90,120,6.9935,5.8717,1.1218
Fe2O3,Triclinic,8.476,8.456,25.291,90,90.07,90.01,3.6852,2.4873,1.1979
XeO3,Orthorhombic,5.531,6.155,8.25,90,90,90,-0.5756,-2.7068,2.1312
Al2O3,Triclinic,10.219,10.315,10.686,88.91,96.3,85.62,6.8279,5.1222,1.7057
WO3,Orthorhombic,3.884,7.697,7.735,90,90,90,1.6171,0.3556,1.2615
Al2O3,Triclinic,10.146,10.035,10.3,89.35,92.22,89.8,8.5018,5.2377,3.2641
MoO3,Monoclinic,7.145,5.405,5.602,90,90.44,90,2.248,0.3382,1.9098
Al2O3,Triclinic,10.263,10.849,10.128,86.47,91.12,89.04,7.4003,3.9682,3.4321
Al2O3,Triclinic,5.716,5.665,16.595,62.92,66.37,58.34,8.6629,5.0462,3.6167
Bi2O3,Cubic,7.947,7.947,7.947,60,60,60,5.6278,3.0464,2.5814
Sb2O3,Monoclinic,4.813,8.124,9.475,107.2,90,90,6.2996,3.7923,2.5073
WO3,Triclinic,7.301,7.449,10.243,90.14,93,93.5,0.4305,-2.1615,2.592
WO3,Triclinic,12.452,12.399,11.706,94.53,90.25,95.87,1.1235,-0.8241,1.9476
SeO3,Tetragonal,5.272,9.636,9.636,90,90,90,0.2077,-2.2235,2.4312
Tm2O3,Trigonal,3.581,3.581,5.73,90,90,120,6.4295,2.276,4.1535
Sb2O3,Orthorhombic,7.613,7.777,12.068,90,90,90,6.3527,3.9984,2.3543
Nd2O3,Trigonal,3.847,3.847,6.02,90,90,120,6.0426,2.2337,3.8089
Cr2O3,Cubic,8.039,9.282,9.282,90,54.73,54.73,5.7879,3.8892,1.8987
WO3,Orthorhombic,7.366,7.576,7.747,90,90,90,1.8836,0.4191,1.4645
Y2O3,Orthorhombic,5.772,5.946,16.659,90,90,90,6.1109,1.7188,4.3921
Al2O3,Monoclinic,10.341,5.146,5.914,123.47,150.97,50.9,7.0405,2.4537,4.5868
WO3,Orthorhombic,3.872,7.48,7.749,90,89.65,90,1.9367,0.2719,1.6648
WO3,Triclinic,12.577,12.053,11.514,86.15,80.95,83.04,1.4047,-0.3635,1.7682
TeO3,Monoclinic,5.167,5.167,9.789,84.45,95.55,60.03,3.1467,0.9872,2.1595
Lu2O3,Cubic,8.887,8.887,8.887,109.47,109.47,109.47,5.1988,1.1777,4.0211
Al2O3,Triclinic,10.304,10.478,9.933,91.05,89.18,88.44,8.2561,4.3942,3.8619
Bi2O3,Cubic,9.382,9.382,9.382,109.47,109.47,109.47,3.7099,2.4729,1.237
Fe2O3,Triclinic,9.256,10.281,10.883,86.61,98.21,88.04,2.903,1.7652,1.1378
Sb2O3,Orthorhombic,3.354,4.029,13.273,90,90,90,6.0241,4.5452,1.4789
Bi2O3,Trigonal,5.675,5.675,5.675,88.85,88.85,88.85,5.2161,2.7904,2.4257
Al2O3,Triclinic,10.548,10.407,9.9,86.24,91.1,90.85,8.1068,4.0228,4.084
WO3,Monoclinic,7.402,7.58,8.435,101.28,90.1,90.05,1.5331,-1.127,2.6601
V2O3,Monoclinic,5.761,6.06,6.06,125.41,116.6,63.4,3.1477,2.0448,1.1029
Al2O3,Triclinic,10.401,9.71,10.758,91.55,94.31,89.83,7.4867,4.4894,2.9973
Nd2O3,Monoclinic,3.69,7.439,9.007,99.52,90,104.36,5.6411,2.0046,3.6365
Bi2O3,Trigonal,10.414,10.414,10.414,90.05,90.05,90.05,6.3287,4.5942,1.7345
MoO3,Triclinic,5.4,5.44,7.797,89.52,89.11,87.87,2.2021,0.3835,1.8186
Y2O3,Triclinic,11.435,11.587,12.06,94.83,85.53,90.8,4.6894,1.6684,3.021
Al2O3,Triclinic,9.883,9.975,11.324,91.25,94.38,86.94,7.7577,3.9428,3.8149
Al2O3,Triclinic,10.239,10.164,10.717,91.48,88.91,89.01,7.5582,4.1274,3.4308
Al2O3,Triclinic,10.554,10.157,10.465,94.02,95.11,89.8,7.6955,3.8282,3.8673
La2O3,Trigonal,3.931,3.931,6.112,90,90,120,9.6181,5.7933,3.8248
Tm2O3,Monoclinic,3.405,7.066,8.43,99.9,90,103.94,6.0795,1.9104,4.1691
WO3,Hexagonal,7.403,7.403,3.806,90,90,120,0.7944,-0.3457,1.1401
Al2O3,Triclinic,10.498,10.07,10.98,77.15,86.23,86.91,7.5457,3.9004,3.6453
B2O3,Triclinic,10.746,11.443,11.384,85.89,88.29,87.68,2.7809,-1.4449,4.2258
Y2O3,Monoclinic,14.321,3.471,8.539,90,98.75,90,5.8064,2.2337,3.5727
WO3,Hexagonal,7.403,7.403,7.678,90,90,120,1.1103,-0.3777,1.488
Al2O3,Triclinic,9.823,11.226,10.23,91.04,86.26,88.86,7.4438,4.0261,3.4177
Fe2O3,Triclinic,10.022,10.819,9.821,90.88,93.31,95.47,2.5617,1.4494,1.1123
Tb2O3,Cubic,9.236,9.236,9.236,109.47,109.47,109.47,5.244,1.3434,3.9006
UO3,Tetragonal,11.244,11.244,11.244,143.84,143.84,52.06,4.5016,2.6161,1.8855
Al2O3,Trigonal,3.002,6.021,3.002,104.43,60,104.43,9.9578,5.9549,4.0029
Gd2O3,Monoclinic,3.563,7.289,8.762,99.75,90,104.14,4.8183,1.9126,2.9057
Bi2O3,Cubic,9.614,9.614,9.614,109.47,109.47,109.47,6.3669,4.4472,1.9197
AlO3,Monoclinic,7.79,7.79,2.972,100.82,100.82,27.61,5.0057,2.684,2.3217
Bi2O3,Orthorhombic,5.523,5.204,12.045,90,90,90,4.9397,3.191,1.7487
CrO3,Monoclinic,6.87,6.87,5.858,74.73,74.73,84.39,-0.1842,-2.2137,2.0295
Nd2O3,Cubic,9.637,9.637,9.637,109.47,109.47,109.47,4.9774,1.2694,3.708
Al2O3,Triclinic,10.253,10.38,10.459,93.31,87.28,91.97,7.5184,4.1941,3.3243
Al2O3,Triclinic,10.702,10.21,10.265,94.12,87.63,99.61,7.5617,4.4008,3.1609
Sb2O3,Orthorhombic,4.964,5.403,12.379,90,90,90,6.4587,4.2348,2.2239
B2O3,Triclinic,11.668,10.556,10.535,88.64,97.67,95.6,3.4074,-0.718,4.1254
Sm2O3,Cubic,9.473,9.473,9.473,109.47,109.47,109.47,4.9659,1.1836,3.7823
Fe2O3,Monoclinic,8.095,8.097,8.091,71.21,109.58,70.12,4.5542,3.2077,1.3465
Lu2O3,Trigonal,3.532,3.532,5.699,90,90,120,6.3581,2.2698,4.0883
Al2O3,Triclinic,10.622,10.128,10.04,93.22,91.62,92.35,8.0667,4.207,3.8597
WO3,Orthorhombic,5.214,5.311,7.679,90,90,90,1.9502,0.4865,1.4637
Al2O3,Triclinic,5.63,5.652,14.084,89.62,90.84,119.77,9.2519,5.9086,3.3433
WO3,Orthorhombic,3.86,3.867,7.72,90,90,90,1.5218,0.3524,1.1694
Br2O3,Monoclinic,7.767,8.841,11.742,108.44,90,90,1.0029,-0.7558,1.7587
Y2O3,Triclinic,11.634,11.609,12.028,87.02,85.09,86.23,4.5543,1.7412,2.8131
Al2O3,Triclinic,6.193,7.445,21.288,96.24,92.71,114.6,6.8608,5.4762,1.3846
Al2O3,Monoclinic,2.907,5.615,6.073,103.65,103.85,90,9.6272,5.1719,4.4553
Sb2O3,Orthorhombic,6.726,6.726,16.647,90,90,151.1,5.3775,4.1991,1.1784
B2O3,Triclinic,11.744,11.595,10.696,86.31,91.94,92.62,2.8458,-1.5867,4.4325
Al2O3,Orthorhombic,3.12,5.57,9.563,90,90,124.07,5.3776,1.8685,3.5091
Al2O3,Triclinic,9.977,10.426,10.444,91.71,89.45,88.22,8.1022,4.2238,3.8784
Al2O3,Triclinic,5.655,5.658,13.642,92.17,89.35,119.64,9.4285,6.1291,3.2994
CrO3,Orthorhombic,4.717,4.881,5.705,90,90,118.8,0.0892,-2.1993,2.2885
As2O3,Orthorhombic,5.27,7.496,13.152,90,90,90,1.7792,-1.2711,3.0503
CrO3,Monoclinic,4.625,6.996,9.739,71.55,90,90,-1.5419,-3.3971,1.8552
As2O3,Monoclinic,4.605,8.032,9.277,101.2,90,90,3.9983,0.3677,3.6306
Al2O3,Triclinic,10.213,10.418,10.246,89.22,92.68,85.3,7.8503,4.1762,3.6741
WO3,Tetragonal,5.237,5.237,7.899,90,90,90,1.9475,0.3221,1.6254
WO3,Hexagonal,7.511,7.511,7.712,90,90,120,0.9002,-0.3085,1.2087
Sc2O3,Orthorhombic,5.458,9.335,9.941,90,90,90,6.1052,1.9407,4.1645
Bi2O3,Orthorhombic,5.055,5.569,12.634,90,90,90,5.4998,3.2228,2.277
Sm2O3,Monoclinic,3.618,7.336,8.86,99.57,90,104.28,5.6378,1.8935,3.7443
Fe2O3,Orthorhombic,5.215,8.952,9.596,90,90,90,4.1021,2.577,1.5251
Al2O3,Triclinic,10.631,10.547,10.173,93.06,88.42,86.81,7.3013,4.0956,3.2057
Fe2O3,Orthorhombic,8.233,8.233,9.492,54.8,54.8,70.18,4.5517,3.2383,1.3134
La2O3,Hexagonal,6.267,6.267,3.3,90,90,120,4.9534,3.4192,1.5342
CrO3,Orthorhombic,4.863,4.863,3.097,90,90,119.45,-0.47,-1.9134,1.4434
WO3,Triclinic,12.091,11.53,12.577,83.67,91.1,87.58,1.5135,-0.5715,2.085
WO3,Monoclinic,7.384,7.548,7.732,88.86,90,90,2.0694,0.4398,1.6296
Nd2O3,Hexagonal,6.165,6.165,3.217,90,90,120,1.9394,0.3691,1.5703
WO3,Orthorhombic,7.694,7.686,7.759,90,90,90,1.7172,0.3643,1.3529
As2O3,Monoclinic,4.559,5.389,13.034,90,90,94.69,4.2952,0.2613,4.0339
Cr2O3,Orthorhombic,5.039,5.211,7.195,90,90,90,6.3106,3.9668,2.3438
Al2O3,Triclinic,10.065,10.089,10.894,87.29,91.04,86.35,7.7858,4.3532,3.4326
Er2O3,Monoclinic,3.432,7.102,8.484,99.89,90,103.98,6.0655,1.9632,4.1023
Fe2O3,Tetragonal,8.525,8.525,25.593,90,90,90,3.794,2.2267,1.5673
Al2O3,Triclinic,10.236,10.525,10.413,86.53,87.65,89.51,7.6958,4.1051,3.5907
Sc2O3,Cubic,8.542,8.542,8.542,109.47,109.47,109.47,6.2236,2.4001,3.8235
Sc2O3,Trigonal,5.348,5.666,5.348,118.16,60,118.16,6.3904,2.2628,4.1276
Sc2O3,Trigonal,5.4,5.816,5.4,117.66,60,117.66,5.889,1.836,4.053
Fe2O3,Orthorhombic,5.173,5.325,7.524,90,90,90,3.7652,2.4557,1.3095
Al2O3,Triclinic,5.576,5.604,14.56,78.94,81.83,60.9,9.1048,5.1285,3.9763
Al2O3,Triclinic,10.409,10.315,10.483,93.36,91.07,90.97,7.3938,3.9473,3.4465
Tb2O3,Tetragonal,3.809,3.809,5.588,90,90,90,3.6816,2.1207,1.5609
WO3,Tetragonal,12.063,12.063,3.945,90,90,90,1.576,0.0852,1.4908
