sample,crystal_system,a,b,c,alpha,beta,gamma,cbm,vbm,band_gap
Rb2O,Orthorhombic,7.14,4.622,8.693,90,90,90,2.7054,1.0599,1.6455
MgO,Monoclinic,8.734,8.734,5.68,89.77,89.77,59.93,3.2088,-0.0952,3.304
BaO,Orthorhombic,3.894,52.349,3.893,90,120,90,3.8609,1.7741,2.0868
MgO,Hexagonal,2.938,2.938,2.68,90,90,120,5.9446,2.8963,3.0483
MgO,Hexagonal,3.251,3.251,10.386,90,90,120,4.8933,1.4676,3.4257
BaO,Triclinic,13.639,14.371,13.152,86.1,87.47,88.61,2.7819,1.1035,1.6784
SnO,Orthorhombic,3.581,3.581,12.174,90,90,101.98,7.0105,5.3678,1.6427
Na2O,Orthorhombic,5.312,5.049,3.63,90,90,90,1.0078,-0.0265,1.0343
B8O,Monoclinic,5.125,5.125,9.123,72.8,72.8,62.36,7.336,5.0715,2.2645
CaO,Orthorhombic,3.334,3.334,16.749,90,90,90.1,2.043,-0.0439,2.0869
MgO,Hexagonal,3.308,3.308,4.983,90,90,120,3.9686,0.5985,3.3701
VO,Monoclinic,3.128,5.031,5.32,96.35,72.9,89.99,7.7784,5.7999,1.9785
PbO,Orthorhombic,5.256,5.653,45.189,90,90,90,5.7228,4.1858,1.537
H2O,Monoclinic,4.739,4.739,7.285,85.52,85.52,120.75,0.5313,-4.2276,4.7589
SnO,Orthorhombic,3.355,4.222,5.674,90,90,90,6.2157,4.5306,1.6851
MnO,Orthorhombic,3.155,4.397,6.193,90,90,90,5.3706,4.0601,1.3105
BeO,Triclinic,9.411,9.841,8.982,90.96,91.77,96.07,6.2954,1.843,4.4524
MgO,Triclinic,9.523,11.011,9.366,89.58,90.69,92.53,4.4833,2.4018,2.0815
N2O,Orthorhombic,4.373,5.4,6.627,90,90,90,3.5581,-1.185,4.7431
MgO,Trigonal,3.259,3.259,15.461,90.02,89.99,120.03,4.9179,1.5065,3.4114
K2O,Monoclinic,7.99,4.108,4.343,68.07,90,90,2.2422,0.4996,1.7426
PbO,Orthorhombic,5.452,5.791,5.955,90,90,90,5.4402,3.1348,2.3054
MgO,Orthorhombic,11.304,11.304,11.304,158.77,148.78,38.06,5.5912,2.3961,3.1951
BeO,Triclinic,9.187,10.717,9.247,91.78,91.8,90,5.2246,0.9821,4.2425
MgO,Triclinic,9.691,10.048,10.202,99.04,87.41,89.31,4.5638,2.4888,2.075
MgO,Triclinic,10.344,9.584,9.593,91.11,91.69,87.32,4.7495,2.8018,1.9477
BaO,Hexagonal,3.819,3.819,6.654,90,90,120,4.3554,1.9952,2.3602
SrO,Cubic,3.654,3.654,3.654,60,60,60,4.7714,1.4966,3.2748
Rb2O,Cubic,4.771,4.796,6.757,90,90,90,2.1869,0.8677,1.3192
Na2O,Trigonal,6.194,6.194,3.709,90,90,120,2.9449,1.436,1.5089
MgO,Cubic,5.641,5.641,5.641,90,90,90,3.33,0.4479,2.8821
FeO,Hexagonal,5.308,5.308,10.604,90,90,120,4.9369,3.7759,1.161
CaO,Hexagonal,3.992,3.992,4.785,90,90,120,4.3949,1.2749,3.12
MgO,Monoclinic,12.892,12.892,7.577,85.65,85.65,15.49,3.8486,1.1074,2.7412
BaO,Hexagonal,4.361,4.361,6.606,90,90,120,2.7505,0.6083,2.1422
K2O,Cubic,6.375,4.516,4.502,90,90,90,2.0533,0.3461,1.7072
MgO,Triclinic,10.362,9.006,10.175,96.14,88.33,90.7,4.9651,2.7626,2.2025
FeO,Monoclinic,3.102,5.376,5.444,110.56,91.1,89.95,5.8177,4.002,1.8157
ZrO2,Tetragonal,4.867,7.616,10.265,137.89,18.51,129.72,5.0796,1.9497,3.1299
ZrO2,Orthorhombic,9.982,5.784,5.554,90,90,90,4.6763,1.3429,3.3334
HfO2,Monoclinic,5.094,5.151,5.276,90,99.56,90,7.0401,3.0236,4.0165
BaO2,Orthorhombic,4.409,4.409,3.664,90,90,127.86,4.5086,2.2145,2.2941
ZrO2,Orthorhombic,5.098,5.271,10.093,90,90,90,6.502,2.9226,3.5794
WO2,Triclinic,5.703,5.728,20.318,89.56,89.44,70.03,5.0662,3.7239,1.3423
C3O2,Orthorhombic,5.382,10.287,12.72,90,90,90,1.3618,-2.5159,3.8777
CoO2,Monoclinic,2.844,2.829,19.419,92.72,88.69,120.04,1.5528,0.2984,1.2544
PO2,Monoclinic,6.954,6.97,6.97,92.69,95.03,95.03,4.567,0.0487,4.5183
TiO2,Orthorhombic,4.544,5.518,14.896,90,90,90,5.1808,3.0969,2.0839
SbO2,Orthorhombic,6.756,6.756,6.756,125.07,116.25,89.04,4.9262,3.397,1.5292
SiO2,Cubic,3.807,3.807,3.807,90,90,90,9.7381,5.2096,4.5285
WO2,Orthorhombic,3.318,3.318,10.723,90,90,123.24,3.2553,1.6025,1.6528
TiO2,Tetragonal,7.36,7.36,7.36,92.33,92.33,156.74,3.1536,0.6508,2.5028
SbO2,Orthorhombic,4.834,5.448,11.818,90,90,90,7.3967,5.507,1.8897
VO2,Monoclinic,5.015,9.15,5.022,92.41,111.69,91.2,2.9947,1.9289,1.0658
SiO2,Monoclinic,4.252,4.304,8.262,59.54,90,90,6.7486,3.1466,3.602
BiO2,Monoclinic,5.196,5.589,6.723,106.85,112.73,90,5.0499,3.8903,1.1596
WO2,Orthorhombic,3.315,9.181,11.203,90,90,90,4.8899,2.4094,2.4805
CeO2,Cubic,3.866,3.866,3.866,60,60,60,6.9038,5.0391,1.8647
SbO2,Triclinic,6.302,7.481,15.695,87.53,87.12,65.23,4.0772,2.2093,1.8679
SiO2,Trigonal,6.043,6.043,6.043,88.01,88.01,88.01,6.2724,2.0825,4.1899
ZrO2,Tetragonal,4.015,6.052,4.015,70.64,89.99,109.36,4.0982,0.6161,3.4821
NiO2,Trigonal,2.804,2.804,7.16,78.71,78.71,60,0.133,-1.6812,1.8142
SeO2,Tetragonal,5.083,8.372,8.372,90,90,90,3.5021,0.2147,3.2874
SbO2,Orthorhombic,5.581,6.066,10.491,90,90,90,6.4537,4.6814,1.7723
SiO2,Triclinic,12.315,11.883,11.564,86.8,86.78,88.81,3.4196,0.5148,2.9048
MnO2,Tetragonal,2.855,7.016,7.02,87.58,78.27,78.25,1.7739,0.6272,1.1467
VO2,Monoclinic,3.033,8.773,10.537,89.14,89.99,90.05,3.388,1.8995,1.4885
HfO2,Cubic,3.558,3.558,3.558,60,60,60,8.0662,4.2619,3.8043
VO2,Orthorhombic,5.65,5.677,5.651,64.42,101.36,68.44,3.7306,2.6426,1.088
TiO2,Monoclinic,3.767,6.435,6.616,106.18,90,107.02,4.0444,1.367,2.6774
ZrO2,Orthorhombic,5.426,7.666,3.448,90,90,90,6.2181,2.2585,3.9596
SiO2,Triclinic,10.789,12.224,12.477,89.01,92.53,89.14,3.3981,1.7963,1.6018
VO2,Monoclinic,5.008,9.166,5.018,91.25,111.8,91.09,3.0587,2.0007,1.058
TiO2,Cubic,4.902,4.902,4.902,90,90,90,5.8315,4.4519,1.3796
SrO2,Orthorhombic,4.724,4.947,8.511,90,90,90,4.1705,1.388,2.7825
TiO2,Monoclinic,5.932,5.932,19.761,80.47,80.47,61.45,2.8942,1.8339,1.0603
CaO2,Tetragonal,3.28,4.081,4.081,47.4,66.3,66.3,5.5289,2.7944,2.7345
ZnO2,Orthorhombic,3.923,3.201,9.994,90,90,90,3.7827,2.5083,1.2744
HfO2,Orthorhombic,3.334,5.556,6.505,90,90,90,8.153,4.7601,3.3929
SiO2,Cubic,13.469,13.469,13.469,109.47,109.47,109.47,5.6624,1.4667,4.1957
SiO2,Orthorhombic,3.879,8.748,9.84,90,90,90,3.0625,1.8835,1.179
H2O2,Tetragonal,3.968,3.968,7.488,90,90,90,3.0195,-1.4658,4.4853
ZrO2,Orthorhombic,4.878,5.844,16.137,90,90,90,5.3256,1.7496,3.576
VO2,Triclinic,4.84,6.625,8.712,88.1,84.34,87.84,-0.5496,-1.7655,1.2159
ZrO2,Triclinic,10.437,9.986,11.272,91.07,95.44,93.91,5.3212,2.4098,2.9114
WO2,Monoclinic,6.484,6.484,15.032,89.58,89.58,60.59,3.7341,2.2637,1.4704
GeO2,Tetragonal,2.877,4.412,4.412,90,90,90,6.5375,5.3218,1.2157
SbO2,Triclinic,6.073,7.926,8.753,83.98,89.71,89.38,4.5375,2.7242,1.8133
VO2,Monoclinic,6.753,4.871,8.738,84.08,90,90,-1.0281,-2.1434,1.1153
MnO2,Trigonal,7.119,7.119,7.119,23.14,23.14,23.14,-0.3514,-2.2909,1.9395
SiO2,Orthorhombic,12.649,11.895,5.85,83.52,69.12,27.35,4.2683,2.6618,1.6065
SiO2,Orthorhombic,4.719,5.274,7.732,82.15,72.23,63.42,4.5554,-0.1663,4.7217
HfO2,Triclinic,10.995,10.869,11.135,92.3,90.8,93.76,5.9628,2.184,3.7788
SiO2,Cubic,14.418,14.418,14.418,109.47,109.47,109.47,2.8932,1.4028,1.4904
VO2,Monoclinic,3.021,8.753,10.594,90,90.01,91.3,3.3869,1.939,1.4479
SiO2,Cubic,13.192,13.192,13.192,90,90,90,1.6877,0.6241,1.0636
TeO2,Orthorhombic,6.924,6.924,3.362,90,90,152.39,8.7663,7.4774,1.2889
SiO2,Cubic,4.488,4.488,4.488,90,90,90,12.8669,8.8578,4.0091
TeO2,Orthorhombic,5.418,5.627,12.31,90,90,90,6.0753,3.8474,2.2279
GeO2,Trigonal,4.976,4.976,5.671,90,90,120.01,2.4222,-0.8271,3.2493
NO2,Monoclinic,6.824,4.335,6.404,76.08,90,90,0.1576,-1.3526,1.5102
TiO2,Monoclinic,3.907,6.168,11.408,87.23,90,90,-0.8262,-2.5228,1.6966
SnO2,Hexagonal,3.231,3.231,10.791,90,90,120,4.2095,2.1099,2.0996
MgO2,Trigonal,3.955,3.955,3.955,47.88,47.88,47.88,5.6315,3.2514,2.3801
TeO2,Triclinic,5.791,7.038,7.79,105.99,93.63,111.39,6.8115,4.2294,2.5821
SnO2,Tetragonal,5.853,5.853,5.853,140.03,140.03,57.8,4.9868,3.6792,1.3076
TiO2,Cubic,5.967,5.967,5.967,60,60,60,2.6776,0.9656,1.712
