band_gap,sample,crystal_size,base,dopant,crystal_system,ssa,a,c,dopant_conc
2.7,5 wt % Mn-doped TiO2,,Ti,Mn,anatase,-1.0174451056843086,1.043359080941563,1.6209402587525579,0.004716098153547183
2.7,10 wt % Mn-doped TiO2,,Ti,Mn,anatase,-1.0174451056843086,1.0321718877012234,1.5942113451964695,0.6018000845659365
2.45,20 wt % Mn-doped TiO2 (TMA400),,Ti,Mn,anatase,0.714025495561274,0.9795262724525673,1.6022838358677716,1.795968057390715
2.5,20 wt % Mn-doped TiO2 (TMB400),,Ti,Mn,anatase,0.7927287047088002,0.9946618868365572,1.6046158887283697,1.795968057390715
2.55,20 wt % Mn-doped TiO2 (TMN400),,Ti,Mn,anatase,0.8714319138563262,1.0624431164692016,1.5678412090035514,1.795968057390715
3.18,pure TiO2,741.0,Ti,X,anatase,-0.6396697017761814,1.0035458344097676,-0.3629497736731816,-0.5923678882588421
3.19,0.05 wt % W-doped TiO2,740.0,Ti,W,anatase,-0.6317993808614292,1.0111136416017619,-0.3513260850647152,-0.5863970483947183
3.12,0.1 wt % W-doped TiO2,732.0,Ti,W,anatase,-0.6868916272646974,1.0111136416017619,-0.43269190532398455,-0.5804262085305943
3.18,0.5 wt % W-doped TiO2,736.0,Ti,W,anatase,-0.6396697017761814,0.9963070623130768,-0.3629497736731816,-0.5326594896176032
3.19,1 wt % W-doped TiO2,722.0,Ti,W,anatase,-0.6317993808614292,1.0035458344097676,-0.3513260850647152,-0.47295109097636423
3.22,pure TiO2,281.0,Ti,X,anatase,-0.608188418117171,1.0084813608393293,-0.3164550192393137,-0.5923678882588421
3.2,0.1 mol % Sn-doped TiO2,235.0,Ti,Sn,anatase,-0.6239290599466764,1.0130878521735862,-0.33970239645624767,-0.5804262085305943
3.18,0.5 mol % Sn-doped TiO2,195.0,Ti,Sn,anatase,-0.6396697017761814,1.0127588170782829,-0.3629497736731816,-0.5326594896176032
3.21,1 mol % Sn-doped TiO2,172.0,Ti,Sn,anatase,-0.6160587390319237,1.0137459223641943,-0.3280787078477812,-0.47295109097636423
3.19,3 mol % Sn-doped TiO2,132.0,Ti,Sn,anatase,1.8788329909446655,1.0176943435078432,1.6144224699883218,-0.23411749641140853
3.186,2.0% In−TiO2,140.0,Ti,In,anatase,-0.63494750922733,0.9360936398724266,-0.35597556050810175,-0.3535342936938864
3.195,3.5% In−TiO2,110.0,Ti,In,anatase,-0.627864220404053,0.9525453946376311,1.598636266008887,-0.1744090977701696
3.217,5.0% In−TiO2,100.0,Ti,In,anatase,1.9213327238843305,1.0315138175106153,1.5830892469382318,0.004716098153547183
3.2,0% Ni:ZnO,651.1819116135663,Zn,X,wurtzite,,-0.7781792066619342,-0.33970239645624767,-0.5923678882588421
3.18,1% Ni:ZnO,647.1120246659815,Zn,Ni,wurtzite,,-0.8045020142862622,-0.3629497736731816,-0.47295109097636423
3.16,2% Ni:ZnO,643.0421377183968,Zn,Ni,wurtzite,,-0.7847599085680155,-0.3861971508901161,-0.3535342936938864
3.14,4% Ni:ZnO,638.9722507708119,Zn,Ni,wurtzite,,-0.7683081538028108,-0.9480850502188242,-0.11470069912893067
3.13,6% Ni:ZnO,636.9373072970195,Zn,Ni,wurtzite,,-0.7748888557088935,-0.9612402202016864,0.12413289543602504
3.22,Pure ZnO,655.2517985611512,Zn,X,wurtzite,,-0.7386949952254421,-0.3164550192393137,-0.5923678882588421
3.25,1%Co ZnO,661.3566289825283,Zn,Co,wurtzite,,-0.7847599085680155,-0.28158395341391274,-0.47295109097636423
3.26,2%Co ZnO,663.3915724563205,Zn,Co,wurtzite,,-0.7584371009436874,-0.26996026480544577,-0.3535342936938864
3.27,3%Co ZnO,665.426515930113,Zn,Co,wurtzite,,-0.7255335914132781,-0.9391156161396002,-0.23411749641140853
3.28,4%Co ZnO,667.4614594039055,Zn,Co,wurtzite,,-0.7650178028497702,-0.9486830124907726,-0.11470069912893067
2.1,CdS-doped ZnO,427.3381294964029,Zn,CdS,wurtzite,,-0.554435341855146,-1.6183081433876254,-0.5923678882588421
2.64,10% Cu-doped ZnO at 700 C,537.2250770811922,Zn,Cu,wurtzite,,-0.7650178028497702,-0.9504768993066175,0.6018000845659365
2.87,Zn0.85Ni0.15O,584.0287769784172,Zn,Ni,wurtzite,,-0.8275344709575496,-0.9630341070175312,1.198884070978326
2.94,Zn0.9 Ni0.0 O,598.273381294964,Zn,Ni,wurtzite,,-0.8143730671453856,-0.9594463333858415,0.6018000845659365
2.97,2 wt% Ag-doped ZnO,604.3782117163413,Zn,Ag,wurtzite,,-0.7485660480845655,-0.6070472344509903,-0.3535342936938864
2.98,1 wt% Ag-doped ZnO,606.4131551901336,Zn,Ag,wurtzite,,-0.7518563990376061,-0.5954235458425233,-0.47295109097636423
3.02,ZnO/glass,614.5529290853033,Zn,X,wurtzite,,-0.7255335914132781,-0.5489287914086549,-0.5923678882588421
3.03,Zn0.9 Ni0.0 O,616.5878725590956,Zn,Ni,wurtzite,,-0.8275344709575496,-0.9630341070175312,0.6018000845659365
3.08,Al-doped ZnO D,626.7625899280577,Zn,Al,wurtzite,,-0.5017897266064899,-0.479186659757853,-0.5923678882588421
3.11,0.5 wt% Ag-doped ZnO,632.8674203494347,Zn,Ag,wurtzite,,-0.7551467499906468,-0.9486830124907726,0.004716098153547183
3.11,Al-doped ZnO B,632.8674203494347,Zn,Al,wurtzite,,-0.39320814515613717,-0.4443155939324515,-0.5923678882588421
3.12,Al-doped ZnO C,634.9023638232271,Zn,Al,wurtzite,,-0.45901516421695726,-0.43269190532398455,-0.5923678882588421
3.15,Zn0.9 Ni0.0 O,641.0071942446043,Zn,Ni,wurtzite,,-0.8275344709575496,-0.966621880649221,0.6018000845659365
3.18,ZnO/ITO/glass,647.1120246659815,Zn,X,wurtzite,,-0.6564362213994174,-0.3629497736731816,-0.5923678882588421
3.18,Undoped ZnO,647.1120246659815,Zn,X,wurtzite,,-0.554435341855146,-0.3629497736731816,-0.5923678882588421
3.19,0.25 wt% Ag-doped ZnO,649.1469681397739,Zn,Ag,wurtzite,,-0.8209537690514669,-0.9624361447455828,2.3930520438031047
3.2,Al-doped ZnO A,651.1819116135663,Zn,Al,wurtzite,,-0.38662744325005444,-0.33970239645624767,-0.5923678882588421
3.21,Undoped ZnO,653.2168550873588,Zn,X,wurtzite,,-0.8308248219105903,-0.3280787078477812,-0.5923678882588421
3.21,10% Cu-doped ZnO at 900 C,653.2168550873588,Zn,Cu,wurtzite,,-0.7683081538028108,-0.9516728238505139,0.6018000845659365
3.218,5 at% Sn-doped ZnO,654.8448098663926,Zn,Sn,wurtzite,,0.5971874917092043,-1.0814306368632898,0.004716098153547183
3.237,0.5 at% Sn-doped ZnO,658.7112024665983,Zn,Sn,wurtzite,,-0.7518563990376061,-0.2966947486049197,-0.5326594896176032
3.24,Zn0.95Cu0.05O,659.321685508736,Zn,Cu,wurtzite,,-0.8176634180984262,-0.9438993143151864,0.004716098153547183
3.24,Undoped ZnO,659.321685508736,Zn,X,wurtzite,,-0.8147021022406888,-0.2932076420223792,-0.5923678882588421
3.245,0.1 at% Sn-doped ZnO,660.3391572456321,Zn,Sn,wurtzite,,-0.7518563990376061,-0.28739579771814544,-0.5804262085305943
3.246,Undoped ZnO,660.5426515930113,Zn,X,wurtzite,,-0.7518563990376061,-0.28623342885729935,-0.5923678882588421
3.25,Zn0.9 Cu0.04 O,661.3566289825283,Zn,Cu,wurtzite,,-0.8176634180984262,-0.9438993143151864,-0.11470069912893067
3.25,ZnO: Ag 3%,661.3566289825283,Zn,Ag,wurtzite,,-0.7817985927102796,-0.9565761144804901,-0.23411749641140853
3.25,0% Li-doped ZnO: 2% Sn,661.3566289825283,Zn,Sn,wurtzite,,-0.7518563990376061,-0.28158395341391274,-0.3535342936938864
3.25,Zn0.97Cu0.0 O,661.3566289825283,Zn,Cu,wurtzite,,-0.7518563990376061,-0.9438993143151864,-0.23411749641140853
3.26,Undoped ZnO,663.3915724563205,Zn,X,wurtzite,,-0.7979213123801795,-0.26996026480544577,-0.5923678882588421
3.26,Undoped ZnO,663.3915724563205,Zn,X,wurtzite,,-0.7781792066619342,-0.26996026480544577,-0.5923678882588421
3.26,3% Li-doped ZnO: 2% Sn,663.3915724563205,Zn,Li,wurtzite,,-0.7419853461784828,-0.9444972765871349,-0.23411749641140853
3.262,"Ga-doped ZnO, 10 kGy irradiation dose",663.7985611510792,Zn,Ga,wurtzite,,-2.8971652204203386,-0.9534667106663588,0.6018000845659365
3.265,Undoped ZnO,664.4090441932169,Zn,X,wurtzite,,-0.7736714258562677,-0.264148420501212,-0.5923678882588421
3.265,1 at% Sn-doped ZnO,664.4090441932169,Zn,Sn,wurtzite,,-0.7518563990376061,-0.264148420501212,-0.47295109097636423
3.267,"Ga-doped ZnO, 5 kGy irradiation dose",664.8160328879753,Zn,Ga,wurtzite,,-2.890584518514256,-0.9516728238505139,0.004716098153547183
3.267,Undoped ZnO,664.8160328879753,Zn,X,wurtzite,,-0.7659391011166218,-0.26182368277951873,-0.5923678882588421
3.27,"Ga-doped ZnO, 1 kGy irradiation dose",665.426515930113,Zn,Ga,wurtzite,,-2.8872941675612154,-0.25833657619697825,-0.47295109097636423
3.27,ZnO: Ag 2%,665.426515930113,Zn,Ag,wurtzite,,-0.7709404345652433,-0.25833657619697825,-0.3535342936938864
3.272,2 at% Sn-doped ZnO,665.8335046248716,Zn,Sn,wurtzite,,-0.7518563990376061,-0.2560118384752855,-0.3535342936938864
3.274,"Ga-doped ZnO, 0 kGy irradiation dose",666.24049331963,Zn,Ga,wurtzite,,-2.8807134656551323,-0.25368710075359113,-0.5923678882588421
3.275,2 wt% Al-doped ZnO,666.4439876670092,Zn,Al,wurtzite,,-0.7725198030227031,-0.25252473189274505,-0.3535342936938864
3.277,Undoped ZnO,666.8509763617677,Zn,X,wurtzite,,-0.78265408395807,-0.2501999941710512,-0.5923678882588421
3.279,Undoped ZnO,667.2579650565261,Zn,X,wurtzite,,-0.6921365292399123,-0.24787525644935793,-0.5923678882588421
3.28,Undoped ZnO,667.4614594039055,Zn,X,wurtzite,,-0.8095033477348851,-0.2467128875885113,-0.5923678882588421
3.28,0.25 at% Sm-doped ZnO,667.4614594039055,Zn,Sm,wurtzite,,-0.8038439440956541,-0.2467128875885113,-0.5625136889382226
3.28,ZnO: Ag 1%,667.4614594039055,Zn,Ag,wurtzite,,-0.7755469258995017,-0.2467128875885113,-0.47295109097636423
3.28,5% Li-doped ZnO: 2% Sn,667.4614594039055,Zn,Li,wurtzite,,-0.7057914856950328,-0.9385176538676517,0.004716098153547183
3.283,3.5 wt% Al-doped ZnO,668.0719424460432,Zn,Al,wurtzite,,-0.78265408395807,-0.9588304322457347,-0.1744090977701696
3.29,7% Li-doped ZnO: 2% Sn,669.4964028776978,Zn,Li,wurtzite,,-0.7419853461784828,-0.9409095029554451,0.2435496927185029
3.29,Undoped ZnO,669.4964028776978,Zn,X,wurtzite,,-0.7278368370804073,-0.2350891989800443,-0.5923678882588421
3.296,2.25 wt% Al-doped ZnO,670.7173689619732,Zn,Al,wurtzite,,-0.7732765837419031,-0.2281149858149639,-0.32368009437326695
3.3,2 wt% Mg-doped ZnO,671.5313463514902,Zn,Mg,wurtzite,,-0.646565168540294,-0.22346551037157786,-0.3535342936938864
3.305,3 wt% Al-doped ZnO,672.5488180883864,Zn,Al,wurtzite,,-0.7736714258562677,-0.9562233167400401,-0.23411749641140853
3.311,2.5 wt% Al-doped ZnO,673.7697841726618,Zn,Al,wurtzite,,-0.7736714258562677,-0.2106794529022637,-0.29382589505264745
3.32,4 wt% Mg-doped ZnO,675.601233299075,Zn,Mg,wurtzite,,-0.6169520099629254,-0.983962786535721,-0.11470069912893067
3.325,2.75 wt% Al-doped ZnO,676.6187050359713,Zn,Al,wurtzite,,-0.7916038385503417,-0.1944062888504091,-0.263971695732028
3.33,6 wt% Mg-doped ZnO,677.6361767728674,Zn,Mg,wurtzite,,-0.6663072742585407,-0.9809729751759797,0.12413289543602504
3.39,8 wt% Mg-doped ZnO,689.8458376156218,Zn,Mg,wurtzite,,-0.6794686780707048,-0.9911383337991001,0.36296649000098075
3.4,0.50 at% Sm-doped ZnO,691.8807810894141,Zn,Sm,wurtzite,,-0.7962761369036598,-0.10722862428690647,-0.5326594896176032
3.41,1.00 at% Sm-doped ZnO,693.9157245632067,Zn,Sm,wurtzite,,-0.8087794705252157,-0.09560493567843896,-0.47295109097636423
3.43,0.75 at% Sm-doped ZnO,697.9856115107914,Zn,Sm,wurtzite,,-0.79068254028349,-0.07235755846150553,-0.5028052902969837
3.47,Undoped ZnO,706.125385405961,Zn,X,wurtzite,,-0.8538572785818775,-0.025862804027637083,-0.5923678882588421
3.54,ZnO/ZnO: Al/glass,720.3699897225077,Zn,X,wurtzite,,-1.3474099215380273,0.05550301623163283,-0.5923678882588421
3.76,7% Cu-doped ZnO at 700 C,765.1387461459403,Zn,Cu,wurtzite,,-0.7683081538028108,-0.9510748615785655,0.2435496927185029
