band_gap,sample,crystal_size,ssa,a,c,base,primary_dopant,secondary_dopant,primary_conc,secondary_conc,base_conc,crystal_system,reference
3.18,Ce(2%)Co(4%)−TiO2 (700 °C),,39.8,3.813,10,Ti,Co,Ce,4,2,94,rutile,https://link.springer.com/article/10.1007/s11082-016-0435-z
3.22,undoped-TiO2,,85.93,3.776,9.341,Ti,,,0,0,100,anatase,https://link.springer.com/article/10.1007/s10971-012-2924-2
3.25,1% Nb-doped TiO2,,150.61,3.786,9.347,Ti,Nb,,1,0,99,anatase,https://link.springer.com/article/10.1007/s10971-012-2924-2
2.98,pure TiO2,340.9,67.7,3.776,9.486,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S016943321402282X?via%3Dihub
2.45,Ag-doped TiO2(400 °C),123.3,106.37,3.7822,9.5023,Ti,Ag,,24,0,76,anatase,https://www.sciencedirect.com/science/article/pii/S016943321402282X?via%3Dihub
2.51,Ag-doped TiO2 (500 °C),109.6,78.4,3.777,9.501,Ti,Ag,,21,0,79,anatase,https://www.sciencedirect.com/science/article/pii/S016943321402282X?via%3Dihub
2.54,Ag-doped TiO2 (600 °C),197.3,29.33,3.776,9.486,Ti,Ag,,41,0,59,anatase,https://www.sciencedirect.com/science/article/pii/S016943321402282X?via%3Dihub
2.59,Ag-doped TiO2 (700 °C),328.8,1.93,3.7822,9.5023,Ti,Ag,,38,0,62,anatase,https://www.sciencedirect.com/science/article/pii/S016943321402282X?via%3Dihub
3.18,undoped-TiO2,,37.9,3.7945,9.5079,Ti,,,0,0,100,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
3.1,1 wt % Mn-doped TiO2,,52.59,3.7945,9.486,Ti,Mn,,1,0,99,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
2.7,5 wt % Mn-doped TiO2,,80.77,3.7956,9.4993,Ti,Mn,,5,0,95,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
2.7,10 wt % Mn-doped TiO2,,95.19,3.7922,9.4546,Ti,Mn,,10,0,90,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
2.45,20 wt % Mn-doped TiO2 (TMA400),,212.71,3.7762,9.4681,Ti,Mn,,20,0,80,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
2.5,20 wt % Mn-doped TiO2 (TMB400),,203,3.7808,9.472,Ti,Mn,,20,0,80,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
2.55,20 wt % Mn-doped TiO2 (TMN400),,205.36,3.8014,9.4105,Ti,Mn,,20,0,80,anatase,https://link.springer.com/article/10.1007/s11356-014-3356-z
3.18,pure TiO2,741,86.11,3.7835,9.4907,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S1010603015002749?via%3Dihub
3.19,0.05 wt % W-doped TiO2,740,88.14,3.7858,9.4862,Ti,W,,0.05,0,99.95,anatase,https://www.sciencedirect.com/science/article/pii/S1010603015002749?via%3Dihub
3.12,0.1 wt % W-doped TiO2,732,86.08,3.7858,9.4817,Ti,W,,0.1,0,99.9,anatase,https://www.sciencedirect.com/science/article/pii/S1010603015002749?via%3Dihub
3.18,0.5 wt % W-doped TiO2,736,91.71,3.7813,9.4773,Ti,W,,0.5,0,99.5,anatase,https://www.sciencedirect.com/science/article/pii/S1010603015002749?via%3Dihub
3.19,1 wt % W-doped TiO2,722,88.18,3.7835,9.4817,Ti,W,,1,0,99,anatase,https://www.sciencedirect.com/science/article/pii/S1010603015002749?via%3Dihub
3.22,pure TiO2,281,59,3.785,9.5021,Ti,,,0,0,100,anatase,https://www.sciencedirect.com/science/article/pii/S0925838814029259?via%3Dihub
3.2,0.1 mol % Sn-doped TiO2,235,66,3.7864,9.4958,Ti,Sn,,0.1,0,99.9,anatase,https://www.sciencedirect.com/science/article/pii/S0925838814029259?via%3Dihub
3.18,0.5 mol % Sn-doped TiO2,195,75,3.7863,9.4927,Ti,Sn,,0.5,0,99.5,anatase,https://www.sciencedirect.com/science/article/pii/S0925838814029259?via%3Dihub
3.21,1 mol % Sn-doped TiO2,172,87,3.7866,9.4915,Ti,Sn,,1,0,99,anatase,https://www.sciencedirect.com/science/article/pii/S0925838814029259?via%3Dihub
3.19,3 mol % Sn-doped TiO2,132,106,3.7878,9.4884,Ti,Sn,,3,0,97,anatase,https://www.sciencedirect.com/science/article/pii/S0925838814029259?via%3Dihub
3.186,2.0% In−TiO2,140,62,3.763,9.474,Ti,In,,2,0,98,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X15000101?via%3Dihub
3.195,3.5% In−TiO2,110,98,3.768,9.462,Ti,In,,3.5,0,96.5,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X15000101?via%3Dihub
3.217,5.0% In−TiO2,100,123,3.792,9.436,Ti,In,,5,0,95,anatase,https://www.sciencedirect.com/science/article/pii/S0926860X15000101?via%3Dihub
3.2,0% Ni:ZnO,240,,3.242,5.206,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S2405844020304333
3.18,1% Ni:ZnO,370,,3.234,5.196,Zn,Ni,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S1
3.16,2% Ni:ZnO,320,,3.24,5.213,Zn,Ni,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S2
3.14,4% Ni:ZnO,250,,3.245,5.203,Zn,Ni,,4,0,96,wurtzite,https://www.sciencedirect.com/science/article/pii/S3
3.13,6% Ni:ZnO,370,,3.243,5.181,Zn,Ni,,6,0,94,wurtzite,https://www.sciencedirect.com/science/article/pii/S4
3.22,Pure ZnO,248.3,,3.254,5.212,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0030402619318649
